Id,Character,JlptLevel,Meaning,StrokeCount,Freq,AllRebs
2231,日,N5,"NHẬT, NHỰT",4,1," ジュウ ニュウ | にじゅう"
147,一,N5,NHẤT,1,2," キ | いそ"
998,国,N5,QUỐC,8,3," コク | つ.げる"
340,会,N4,"HỘI, CỐI",6,4," カイ"
1526,人,N5,NHÂN,2,5," シン | ふる.う ふる.える"
2247,年,N5,NIÊN,6,6," ネツ | あつ.い"
1834,大,N5,"ĐẠI, THÁI",3,7," ダイ タイ | うてな われ つかさ"
1322,十,N5,THẬP,2,8," ジュウ | あ.てる み.たす"
2222,二,N5,NHỊ,2,9," ジョ | なんじ なれ い うぬ いまし し しゃ な なむち まし みまし"
2668,本,N5,"BỔN, BẢN",5,10," ホン | はし.る"
1927,中,N5,"TRUNG, TRÚNG",4,11," チャク ジャク | き.る -ぎ き.せる -き.せ つ.く つ.ける"
1976,長,N5,"TRƯỜNG, TRƯỞNG, TRƯỚNG",8,12," チョウ ヨウ | なべ"
1341,出,N5,"XUẤT, XÚY",5,13," ジュク | う.れる"
1121,三,N5,"TAM, TÁM",3,14," サイ シ | さら.す さらし"
2156,同,N4,ĐỒNG,6,15," ドウ | うご.く うご.かす"
1199,時,N5,"THÌ, THỜI",10,16," ジ | も.つ -も.ち も.てる"
1590,政,N3,"CHÁNH, CHÍNH",9,17," セイ ジョウ | な.る な.す -な.す"
1191,事,N4,SỰ,8,18," シ | よわい は よわ.い よわい.する"
1210,自,N4,TỰ,6,19," ジ | みみ"
969,行,N5,"HÀNH, HẠNH, HÀNG, HẠNG",6,20," コウ | あら.い あら- あ.れる あ.らす -あ.らし すさ.む"
1249,社,N4,XÃ,7,21," シャ | に.る -に に.える に.やす"
834,見,N5,"KIẾN, HIỆN",7,22," ケン | かた"
807,月,N5,NGUYỆT,4,23," ケツ | わかれ わかれ.る"
2526,分,N4,"PHÂN, PHẬN",4,24," ホ フ ブ | ふな"
577,議,N3,NGHỊ,20,25," ギ | よしみ よい"
892,後,N5,"HẬU, HẤU",9,26," ゴ"
1685,前,N5,TIỀN,9,27," セン | あざ.やか"
2719,民,N3,DÂN,5,28," ミリ ミリメートル"
1599,生,N5,"SANH, SINH",5,29," セイ"
2981,連,N3,LIÊN,10,30," レン | はす はちす"
885,五,N5,NGŨ,4,31," コ | つづみ"
2341,発,N4,PHÁT,9,32," ハツ | も.る とびち.る そそ.ぐ"
501,間,N5,GIAN,12,33," カン | かんが.みる かがみ"
1811,対,N3,ĐỐI,7,34," タイ ツイ | うずたか.い"
1456,上,N5,"THƯỢNG, THƯỚNG",3,35," ショウ ソウ | さや"
2504,部,N3,BỘ,11,36," ブ ム | かぶ かぶら あれる"
2121,東,N5,ĐÔNG,8,37," トウ"
1251,者,N4,GIẢ,8,38," サ シャ | うすぎぬ"
2107,党,N2,ĐẢNG,10,39," トウ | たお.れる -だお.れ たお.す さかさま さかさ さかしま"
1904,地,N4,ĐỊA,6,40," チ | し.る し.らせる"
988,合,N3,"HỢP, CÁP, HIỆP",6,41," ゴウ | さけ.ぶ よびな"
1157,市,N3,THỊ,5,42," シ | しかばね"
675,業,N4,NGHIỆP,13,43," ギョウ キョウ | あかつき さと.る"
2205,内,N3,"NỘI, NẠP",4,44," ナ ダ | なに なんぞ いかん"
1743,相,N3,"TƯƠNG, TƯỚNG",9,45," ソウ チュウ シュウ シュ | や.せる"
2607,方,N4,PHƯƠNG,4,46," ホウ | はな.す -っぱな.し はな.つ はな.れる こ.く ほう.る"
1150,四,N5,TỨ,5,47," シ"
